nct_id,official_title,brief_title,organization,conditions,interventions,intervention_types,lead_sponsor,study_type,phase,allocation,masking,primary_purpose,start_date,completion_date,primary_completion_date,overall_status,enrollment,enrollment_type,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,primary_outcomes,secondary_outcomes
NCT05628779,"Evaluation of the Safety, Efficacy and Cost-effectiveness of Transcatheter Tricuspid Valve Repair in Patients With Severe Tricuspid Regurgitation in the Netherlands.",Evaluating Edge-to-edge Transcatheter Tricuspid Valve Repair in Patients With Severe Symptomatic Tricuspid Regurgitation,St. Antonius Hospital,"Tricuspid Valve Regurgitation, Nonrheumatic; Cardiac Catheterization; Heart Failure, Right Sided; Valve Regurgitation, Tricuspid",TriClip TTVr system (Abbott Vascular); PASCAL TTVr system (Edwards Lifesciences),DEVICE,St. Antonius Hospital,INTERVENTIONAL,NA,RANDOMIZED,NONE,TREATMENT,2022-12-12,2027-11-01,2027-11-01,ENROLLING_BY_INVITATION,150.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

1. The patient is symptomatic (New York Heart Association Functional Class II, III or ambulatory class IV) despite Standard Of Care (SOC). The Central Screening Committee (CSC) will assess whether the patient is receiving SOC. The CSC will also ensure that in case of the presence of atrial fibrillation, left sided heart valve disease (not requiring intervention) or coronary artery disease, conditions are first treated adequately with medication and/or (surgical) intervention.
2. The patient suffers from ≥ grade 3 isolated TR as determined by the assessment of a qualifying transthoracic echocardiogram (TTE) and three-dimensional transesophageal echocardiogram (3DTEE) and confirmed by the CSC, according to European Association for Percutaneous Cardiovascular Interventions (Tricuspid Focus Group) consensus document (in press). Note: If cardiac procedure(s) occur after eligibility was determined, TR grade will be re-assessed 30 days after the procedure.
3. The cardiac surgeon of the sites' local heart team concurs that the patient is at high estimated risk for mortality or morbidity with TV surgery.
4. The patient is ≥18 years of age at time of consent.
5. The patient must provide written informed consent prior to any trial related procedure.

Exclusion Criteria:

1. Systolic pulmonary artery pressure (sPAP) \> 70 mmHg or fixed pre-capillary pulmonary hypertension as assessed by right heart catheterization. Severe uncontrolled hypertension Systolic Blood Pressure (SBP) ≥ 180 mmHg and/or Diastolic Blood Pressure (DBP) ≥ 110 mmHg.
2. Any condition that would interfere with a TTVr procedure, such as prior tricuspid valve repair or tricuspid valve leaflet anatomy which may preclude device implantation (e.g. calcification in grasping area, a severe coaptation defect of the tricuspid leaflets (no clip placement possible), pacemaker or Implantable Cardioverter Defibrillator (ICD) leads that would prevent appropriate placement or visualization of TTVr devices, Ebstein Anomaly (normal annulus position, but valve leaflets attached to walls and septum of the right ventricle), tricuspid valve anatomy non evaluable by echo, known allergy or hypersensitivity to dual antiplatelet therapy AND anticoagulant therapy or to device materials, femoral venous mass or thrombus or vegetation.
3. Indication for left-sided (e.g. severe aortic stenosis, severe mitral regurgitation) or pulmonary valve correction within prior 60 days. Note: concomitant mitral valve disease (e.g. mitral regurgitation) will be treated first and patients will be reassessed for the trial after 60 days.
4. Tricuspid valve stenosis - Defined as a tricuspid valve orifice of ≤ 1.0 cm2 and/or mean gradient ≥5 mmHg.
5. Left Ventricular Ejection Fraction (LVEF) ≤20%
6. Active endocarditis, active rheumatic heart disease, other ongoing infection requiring antibiotic therapy (enrolment possible 30 days after discontinuation of antibiotics with no active infection) or leaflets degenerated from rheumatic disease (i.e. noncompliant, perforated)
7. Myocardial infarction known unstable angina, or percutaneous coronary intervention within prior 30 days.
8. Hemodynamic instability defined as systemic systolic pressure \<90 mmHg with or without afterload reduction, cardiogenic shock or the need for inotropic support or hemodynamic support device (e.g. intra-aortic balloon pump).
9. Cerebrovascular Accident (CVA) within prior 90 days
10. Chronic dialysis
11. Bleeding disorders or hypercoagulable state, inability to use dual antithrombotic therapy due to contraindication, allergy or hypersensitivity
12. Active peptic ulcer or active gastrointestinal (GI) bleeding
13. Life expectancy of less than 12 months
14. Subject currently participating in another clinical trial (not yet completed primary endpoint) or in another clinical investigation for valvular heart disease.
15. Pregnant or nursing patients or those who plan pregnancy during the course of the trial. Women of childbearing age are required to have a negative pregnancy test 7 days prior to baseline visit. Women of childbearing age should be instructed to use safe contraception or have a sterilized regular partner.
16. Presence of anatomic or comorbid conditions, or other medical, social or psychological conditions that, in the eye of the investigator, limits the subject's ability to participate in the clinical investigation or comply with follow-up requirements, or impact the scientific soundness of the investigation results.","Hierarchical composite of all-cause mortality, heart failure hospitalization and Quality of Life",All-cause mortality; Hospitalization for heart failure; Change in Kansas City Cardiomyopathy Questionnaire; Number of participants without Major Adverse Events (MAE); Change in New York Heart Association; Change in 6-Minute Walk Test; Reduction tricuspid regurgitation; Cost-effectiveness as assessed by the Markov model
NCT02892955,Multi-Center Study of MagLev Technology in Patients Undergoing MCS Therapy With HeartMate 3™ Continued Access Protocol: Post-Approval Continued Follow-up,MOMENTUM 3 Continued Access Protocol,Abbott Medical Devices,Advanced Refractory Left Ventricular Heart Failure,HeartMate 3 LVAS,DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,NA,NONE,TREATMENT,2016-08,2021-03,2020-12,COMPLETED,1685.0,ACTUAL,ALL,18 Years,100 Years,False,"Inclusion Criteria:

1. Subject or legal representative has signed Informed Consent Form (ICF)
2. Age ≥ 18 years
3. BSA ≥ 1.2 m2
4. NYHA Class III with dyspnea upon mild physical activity or NYHA Class IV
5. LVEF ≤ 25%
6. a) Inotrope dependent OR b) CI \< 2.2 L/min/m2, while not on inotropes and subjects must also meet one of the following:

   * On optimal medical management (OMM), based on current heart failure practice guidelines for at least 45 out of the last 60 days and are failing to respond
   * Advanced heart failure for at least 14 days AND dependent on intra-aortic balloon pump (IABP) for at least 7 days,
7. Females of child bearing age must agree to use adequate contraception

Exclusion Criteria:

1. Etiology of HF due to or associated with uncorrected thyroid disease, obstructive cardiomyopathy, pericardial disease, amyloidosis, or restrictive cardiomyopathy
2. Technical obstacles which pose an inordinately high surgical risk, in the judgment of the investigator
3. Existence of ongoing mechanical circulatory support (MCS) other than IABP
4. Positive pregnancy test if of childbearing potential
5. Presence of mechanical aortic cardiac valve that will not be either converted to a bioprosthesis or oversewn at the time of LVAD implant
6. History of any organ transplant
7. Platelet count \< 100,000 x 103/L (\< 100,000/ml)
8. Psychiatric disease/disorder, irreversible cognitive dysfunction or psychosocial issues that are likely to impair compliance with the study protocol and LVAS management
9. History of confirmed, untreated Abdominal Aortic Aneurysm (AAA) \> 5 cm in diameter within 6 months of enrollment
10. Presence of an active, uncontrolled infection
11. Intolerance to anticoagulant or antiplatelet therapies or any other peri/post-operative therapy that the investigator will require based upon the patients' health status
12. Presence of any one of the following risk factors for indications of severe end organ dysfunction or failure:

    * An INR ≥ 2.0 not due to anticoagulation therapy
    * Total bilirubin \> 43 umol/L (2.5 mg/dl), shock liver, or biopsy proven liver cirrhosis
    * History of severe chronic obstructive pulmonary disease (COPD) defined by FEV1/FVC \< 0.7, and FEV1 \<50% predicted
    * Fixed pulmonary hypertension with a most recent PVR ≥ 8 Wood units that is unresponsive to pharmacologic intervention
    * History of stroke within 90 days prior to enrollment, or a history of cerebrovascular disease with significant (\> 80%) uncorrected carotid artery stenosis
    * Serum Creatinine ≥ 221 umol/L (2.5 mg/dl) or the need for chronic renal replacement therapy
    * Significant peripheral vascular disease (PVD) accompanied by rest pain or extremity ulceration
13. Patient has moderate to severe aortic insufficiency without plans for correction during pump implant
14. Pre albumin \< 150 mg/L (15mg/dL) or Albumin \< 30g/L (3 g/dL) (if only one available); pre albumin \< 150 mg/L (15mg/dL) and Albumin \< 30g/L (3 g/dL) (if both available)
15. Planned Bi-VAD support prior to enrollment
16. Patient has known hypo or hyper coagulable states such as disseminated intravascular coagulation and heparin induced thrombocytopenia
17. Participation in any other clinical investigation that is likely to confound study results or affect the study
18. Any condition other than HF that could limit survival to less than 24 months
19. Patients actively listed for heart transplant (this exclusion applies only after commercial approval of the HM3 for short-term use)",Event-Free Survival,Pump Replacement; Six Minute Walk Test (6MWT); New York Heart Association (NYHA) Classification; EuroQol-5D-5L Visual Analogue Scale; Kansas City Cardiomyopathy Questionnaire (KCCQ) Overall Summary Score; Rehospitalizations; Adverse Event Rates
NCT00996086,Risk Stratification and Benefits With Cardiac Resynchronization Therapy,Risk Stratification and Benefits With Cardiac Resynchronization Therapy (CRT),Abbott Medical Devices,Heart Failure; Ventricular Arrhythmias,CRT device implant,DEVICE,Abbott Medical Devices,OBSERVATIONAL,,,,,2010-02,2012-09,2012-09,COMPLETED,154.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Meets current clinical indications for CRT-D therapy
* Patient is 18 years old or older
* Ability to independently comprehend and complete all QOL questionnaires
* Patient has the ability to perform the 6-minute Hall Walk Test (6-MHW) with the only limiting factor being fatigue or shortness-of-breath
* Ability to provide informed consent for a study and be willing and able to comply with the prescribed follow-up

Exclusion Criteria:

* Inability to successfully implant an intravascular lead and CRT-D device. (i.e. exclude epicardial leads) within 30 days of initial procedure.
* Myocardial infarction in the last 3 weeks
* Unstable angina in the last 3 weeks
* Status 1 classification for cardiac transplantation
* Currently participating in a clinical trial that includes an active treatment arm
* Life expectancy of less than 12 months.
* Recent (within 1 week) administration of Nesiritide™ or inotropes
* Patients in whom revascularization is expected
* Patient is pregnant","Change in 6-minute hall walk distance between baseline and subsequent follow-up; Composite endpoint a. 6-minute hall walk distance b. NYHA Classification c. Quality of Life (Minnesota Living with Heart Failure, DASS, SF-36); The occurrence of either death (all-cause) or first HF hospitalization.",Quality of Life; Change in echocardiographic variables including: a. Ejection Fraction b. Wall motion score c. Increase in TD velocity d. Yu index; Cause-specific mortality
NCT00121485,"The HeartMate II LVAS Pivotal Study Protocol, Destination Therapy",Thoratec HeartMate II Left Ventricular Assist System (LVAS) for Destination Therapy,Abbott Medical Devices,"Heart Failure, Congestive; Ventricular Dysfunction; Cardiomyopathies",Left Ventricular Assist System (LVAS),DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,NONE,TREATMENT,2005-02,2012-01,2009-06,COMPLETED,200.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

The following are general criteria; more specific conditions are included in the study protocol:

* Subjects with advanced heart failure symptoms (NYHA Class IIIB or IV) who are:

  * On optimal medical management and are failing to respond; or
  * In Class III or Class IV heart failure and dependent on IABP and/or inotropes; or
  * Treated with ACE inhibitors or beta-blockers and found to be intolerant.
* Ineligible for cardiac transplant
* VO2max \<=14 ml/kg/min
* LVEF \<=25%

Exclusion Criteria:

The following are general criteria; more specific conditions are included in the study protocol:

* Evidence of, or risk factors for end-organ dysfunction that would make LVAS implantation futile
* Existence of factors that would adversely affect patient survival or function of the LVAS
* Intolerance to anticoagulant or antiplatelet therapies.
* Existence of any ongoing mechanical circulatory support other than intra-aortic balloon counterpulsation.
* Participation in any other clinical investigation that is likely to confound study results or affect study outcome",Composite Endpoint,"Minnesota Living With Heart Failure Questionnaire(MLWHF); Kansas City Cardiomyopathy Questionnaire (KCCQ); New York Heart Association (NYHA) Classification; Six Minute Walk Test (6MWT); Functional Status (Patient Activity Score); Reoperations; Neurocognitive Assessments, Clock Drawing; Neurocognitive Assessments, Wechsler Memory Scale-III (WMS-LM and WMS-LM Delayed); Neurocognitive Assessments, Wechsler Memory Scale-III Visual Reproduction (WMS-VR and WMS-VR Delayed); Neurocognitive Assessments, Wechsler Adult Intelligence Test-III, Block Design (WAIS Block); Neurocognitive Assessments, Boston Naming Test; Wechsler Adult Intelligence Test-III, Digit Symbol (WAIS Digit); Neurocognitive Assessments, Trail Making A; Neurocognitive Assessments, Trail Making B"
NCT01510652,More Options Available With a Quadripolar Left Ventricular (LV) Lead pRovidE In-clinic Solutions to Cardiac Resynchronization Therapy (CRT) Challenges,More Options Available With a Quadripolar LV Lead pRovidE In-clinic Solutions to CRT Challenges,Abbott Medical Devices,Postoperative Cardiac Complication; Heart Failure; Left Ventricular Cardiac Dysfunction; Inappropriate Phrenic Nerve Stimulation; Perioperative/Postoperative Complications,BiP Group; Quad Group,PROCEDURE; DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,NONE,PREVENTION,2011-11,2014-05,2014-05,COMPLETED,1078.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Patients are indicated for Cardiac Resynchronization Therapy with Defibrillation backup device (CRT-D) implantation, as per current international certified guidelines
* Patients age is 18 years or greater
* Patients must indicate their understanding of the study and willingness to participate by signing the appropriate informed consent form
* Patients must be willing and able to comply with all study requirements

Exclusion Criteria:

* Patients with a life expectancy \<12 months.
* Patients who are or may potentially be pregnant.
* Patient has suffered any of the following in the 4 weeks prior to enrolment:

  * Myocardial Infarction (MI)
  * Coronary Artery Bypass Graft (CABG)
  * Unstable Angina Pectoris
* Patient has primary valvular disease which has not been corrected",Lead Performance,Percentage of Cardiac Resynchronization Therapy Responders; Implant Duration
NCT01856725,Evaluation of Programming Strategies for MultiPoint™ Pacing in Cardiac Resynchronization Therapy Patients,MPP Programming Study,Abbott Medical Devices,Heart Failure,Hemodynamic measurements for CRT device programming; CRT device implant with MultiPoint Pacing,PROCEDURE; DEVICE,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,SINGLE,TREATMENT,2013-05,2015-02,2014-12,COMPLETED,40.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Be scheduled to undergo implant of a St. Jude Medical (SJM) CRT-D system with approved standard indication by ESC/EHRA Guidelines
* Have the ability to provide informed consent for study participation and be willing and able to comply with the Clinical Investigation Plan (CIP) described evaluations and follow-up schedule

Exclusion Criteria:

* Have high ventricular rate (\>90 bpm) during persistent or permanent atrial fibrillation despite available treatment
* Be in NYHA IV functional class
* Have a recent myocardial infarction within 40 days prior to enrollment
* Have undergone cardiac bypass surgery or coronary revascularization procedure within 3 months prior to enrollment or be scheduled for such procedures in the following 7 months
* Have had a recent CVA or TIA within 3 months prior to enrollment
* Have had intravenous inotropic support in the last 30 days
* Be less than 18 years of age
* Be pregnant or planning to become pregnant during the duration of the investigation.",end-systolic volume,
NCT04083690,Multi-lead ECG to Effectively Optimize Resynchronization Devices: New CRT Recipients,Multi-lead ECG to Effectively Optimize Resynchronization Devices: New CRT Recipients,Allina Health System,"Heart Failure, Systolic",Reprogramming of CRT Device Settings to Optimal Electrical Synchrony,DEVICE,Allina Health System,INTERVENTIONAL,NA,RANDOMIZED,DOUBLE,TREATMENT,2019-10-11,2024-10-01,2023-10-01,UNKNOWN,120.0,ESTIMATED,ALL,18 Years,100 Years,False,"Inclusion Criteria:

1. Patients (or their legal guardian) must be willing to provide informed consent and sign a data privacy authorization (HIPAA) form
2. Age greater than or equal 18 years
3. Pre-CRT EF less than or equal 40%
4. Patients will be receiving or have received a first-time CRT device for standard clinical indications within \~2 months of study enrollment
5. Adequate echocardiographic images for LV EF and LV ESV determination
6. On optimal medical therapy

Exclusion Criteria:

1. Patients who are pregnant or may become pregnant
2. Patient has a history of severe allergic reactions from ECG gel/ electrode adhesives
3. Patient has a His Bundle pacing lead
4. Patient has right bundle branch block (RBBB)
5. Patient is enrolled in concurrent research study that would potentially confound the results of this study
6. Premature ventricular contraction (PVC) burden greater than or equal to 10%",Change in left ventricular size,Change in left ventricular function; Change in left ventricular size; Change in left ventricular size; Change in left ventricular size
NCT00132977,Resynchronization Therapy in Normal QRS (RethinQ) Clinical Investigation,RethinQ Study - Evaluating Pacing in Heart Failure Patients,Abbott Medical Devices,Heart Failure,Cardiac Resynchronization Therapy,DEVICE,Abbott Medical Devices,INTERVENTIONAL,PHASE3,RANDOMIZED,DOUBLE,TREATMENT,2005-07,2007-07,2007-07,COMPLETED,250.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria:

* Have an approved indication for implantation of an ICD.
* Have advanced HF with a New York Heart Association (NYHA) Classification of III, despite receiving optimal pharmacological therapy.
* Have a stable heart failure medical regimen.
* Have a left ventricular ejection fraction (LVEF) \<= 35%.
* Have evidence of mechanical dyssynchrony as measured by echocardiography using tissue Doppler imaging or M-mode.
* Have a QRS duration \< 130 ms (present in all ECG leads).
* Have the ability to complete exercise stress testing and 6-minute hall walk test, with the only limiting factors being related to cardiac fitness.
* Have the ability to independently comprehend and complete a quality of life questionnaire.
* Have the ability to provide informed consent for study participation and be willing and able to comply with the prescribed follow-up tests and schedule of evaluations.

Exclusion Criteria:

* Have a standard bradycardic indication for pacing.
* Have been previously treated with CRT.
* Have continuous atrial fibrillation \[AF\] (continuous is defined as AF lasting \> 1 month) within 1 year prior to enrollment or have undergone cardioversion for AF in the past month.
* Have the ability to walk \> 450 meters during the 6-minute walk test.
* Have a NYHA Classification of I, II or IV.
* Have symptomatic chronic obstructive pulmonary disease (COPD) as it relates to exercise ability.
* Have a classification of Status 1 for cardiac transplantation or consideration for transplantation over the next 6 months.
* Have had a recent myocardial infarction, unstable angina or cardiac revascularization (percutaneous transluminal coronary angioplasty \[PTCA\] or coronary artery bypass graft \[CABG\]) within 40 days of enrollment.
* Have had a recent cerebrovascular accident (CVA) or transient ischemic attack (TIA) within 3 months of enrollment.
* Have severe musculoskeletal disorder(s).
* Pregnant or planning for pregnancy in the next 6 months.
* Currently participating in, or have participated in any clinical investigation within the last 30 days (the only exception being that of a registry trial).
* Have a life expectancy of less than 6 months.
* Less than 18 years of age.","Cardiac resynchronization therapy (CRT) effectiveness will be evaluated in terms of exercise capacity (peak VO2), as measured by cardiopulmonary exercise testing; Safety will be evaluated in terms of survival from CRT-D system-related complications.",Quality of Life Questionnaire; New York Heart Association (NYHA) Classification
NCT06526195,Trial to Evaluate Safety And Effectiveness of Mechanical Circulatory Support in Patients With Advancing Heart Failure,Trial to Evaluate Safety And Effectiveness of Mechanical Circulatory Support in Patients With Advancing Heart Failure,Abbott Medical Devices,Heart Failure; Heart Diseases; Cardiovascular Diseases; Pulmonary Hypertension,CardioMEMS HF System; HeartMate 3 Left Ventricular Assist System; Guideline Medical Directed Therapy,DEVICE; OTHER,Abbott Medical Devices,INTERVENTIONAL,NA,RANDOMIZED,NONE,TREATMENT,2024-12-13,2032-09,2029-09,RECRUITING,850.0,ESTIMATED,ALL,18 Years,,False,"Inclusion Criteria:

1. Subject has provided written informed consent by signing the study Informed Consent Form (ICF) prior to any clinical investigation-related procedure
2. LVEF ≤30% and Cardiac Index ≤ 2.5 L/min/m²
3. Limited functional status as demonstrated by 6MWT ≤ 350 m due to HF related reasons OR peak VO2 ≤ 14 mL/kg/min (or \<50% of predicted peak VO2 value)
4. NYHA Class IIIB or NYHA Class IV
5. Subject has ≥ 1 Heart Failure Hospitalization in the last 12 months
6. Subject is already implanted with a CardioMEMS PA Sensor OR willing to undergo a CardioMEMS PA Sensor implant
7. Subject is willing and able to be implanted with the HM3 LVAS if randomized to HM3 Group

Randomization Criteria:

1. Subject has been implanted with a CardioMEMS PA Sensor for at least 90 days.
2. Subject is receiving guideline directed medical therapy with optimal doses (or documented medication contraindication or intolerance) of betablockers, Angiotensin-Converting-Enzyme-inhibitors or Angiotensin II Receptor Blockers or angiotensin receptor neprilysin inhibitor (if eligible), Mineralocorticoid Receptor Antagonists, Sodium-Glucose co-Transporter-2 (SGLT2) inhibitors, and diuretics for at least 30 of the last 90 days.
3. mean PAP ≥ 30 mmHg.
4. The subject will not be randomized if they have any other factor that represents inordinate risk for either continued GDMT or LVAD implant.

Single Arm Registry Criteria:

1. Subject has received a CardioMEMS PA Sensor implant following enrollment in the trial.
2. Subject is receiving guideline directed medical therapy with optimal doses (or documented medication contraindication or intolerance) of betablockers, Angiotensin-Converting-Enzyme-inhibitors or Angiotensin II Receptor Blockers or angiotensin receptor neprilysin inhibitor (if eligible), Mineralocorticoid Receptor Antagonists, Sodium-Glucose co-Transporter-2 (SGLT2) inhibitors, and diuretics for at least 30 of the last 90 days.
3. mean PAP \<30 mmHg

Exclusion Criteria:

1. Subject is \< 18 years of age at the time of informed consent.
2. Dependent on IV inotrope in the last 30 days.
3. Contra-indications to HM3 LVAS or CardioMEMS HF system.
4. Etiology of HF due to or associated with uncorrected thyroid disease, obstructive cardiomyopathy, pericardial disease, amyloidosis, or restrictive cardiomyopathy.
5. Technical obstacles to LVAD or CardioMEMS implantation which pose an inordinately high surgical risk, in the judgment of the implanter.
6. Existence of ongoing MCS.
7. Presence of mechanical aortic valve that will not be either converted to a bioprosthesis or oversewn at the time of LVAD implant.
8. History of any solid organ transplant.
9. Psychiatric disease/disorder, irreversible cognitive dysfunction or psychosocial issues that are likely to impair compliance with the study protocol and LVAS management.
10. Presence of an active, uncontrolled infection.
11. Complex congenital heart disease.
12. Currently Pregnant or capable of becoming Pregnant and Unwilling to Use Contraception with LVAD.
13. History of pulmonary embolism within 30 days prior to enrollment or history of recurrent (\>1 episode) pulmonary embolism and/or deep vein thrombosis.
14. Planned VAD or Bi-VAD support prior to enrollment.
15. Presence of any one of the following risk factors for or indications of severe end organ dysfunction or failure:

    1. An INR ≥ 2.0 not due to anticoagulation therapy
    2. An eGFR \< 30 mL/min/1.73 m2 and nonresponsive to diuretic therapy or receiving chronic dialysis.
    3. Biopsy proven liver cirrhosis.
    4. Need for chronic renal replacement therapy.
    5. History of severe chronic obstructive pulmonary disease (COPD) defined by Forced Expiratory Volume FEV1 \< 30% predicted.
    6. History of cerebrovascular disease with significant (\> 80%) uncorrected internal carotid stenosis.
    7. Significant peripheral vascular disease (PVD) accompanied by ischemic rest pain or extremity ulceration.
16. Any condition other than HF that could limit survival to less than 24 months.
17. Participation in any other clinical investigation with an active treatment arm that is likely to confound study results or affect the study outcome.","Survival at 2 years free of disabling stroke, reoperation to replace the device, or worsening HF requiring listing for urgent heart transplantation or mechanical circulatory support, enrollment into hospice, or dependence on IV inotropes",Rate of Safety Outcomes at 1-year; Survival at 2 years; Quality of life score assessed with the Kansas City Cardiomyopathy Questionnaire; Six-minute walk distance; Hospitalizations for HF and/or Urgent HF Visit; Days alive and outside of the hospital; All-cause hospitalizations; All adverse events (including all strokes) regardless of severity
NCT03891823,EValuation of Outcomes of MitraCLip for the Treatment of Moderate Functional Mitral ValvE Regurgitation In Heart Failure,Transcatheter Mitral Valve Repair for the Treatment of Mitral Valve Regurgitation In Heart Failure (The EVOLVE-MR Trial),Montreal Heart Institute,"Ventricular Remodeling, Left",MitraClip; Medical Therapy,DEVICE; DRUG,Montreal Heart Institute,INTERVENTIONAL,NA,RANDOMIZED,QUADRUPLE,TREATMENT,2019-03-08,2024-05-15,2024-03-28,TERMINATED,9.0,ACTUAL,ALL,18 Years,,False,"Inclusion Criteria

Study participants must meet ALL of the following inclusion criteria in order to be eligible for this study:

1. Male or female ≥18 years of age;
2. Moderate (2+,2-3+) functional mitral regurgitation due to cardiomyopathy of either ischemic or non-ischemic etiology as determined by transthoracic echocardiogram (TTE), and confirmed by the Echocardiography Core Lab (ECL);
3. Left ventricular ejection fraction (LVEF) \>20%, as determined by transthoracic echocardiogram (TTE), and confirmed by the Echocardiography Core Lab (ECL);
4. Symptomatic heart failure as defined by NYHA class II, III or ambulatory IV and NT-proBNP as follows:

   * NT-proBNP \> 300 pg/mL in patients with sinus rhythm
   * NT-proBNP \> 600 pg/mL in patients with atrial fibrillation
5. Treatment and compliance with medical therapy for heart failure for at least 30 days;

   Optimal medical therapy is defined by:

   a. Maximum tolerated beta-blocker, angiotensin converting enzyme inhibitor (ACE) or angiotensin receptor blocker (ARB), Entresto (valsartan/sacubitril), Ivabradine and aldosterone antagonist (as per the ACC/AHA Guidelines and Canadian Cardiovascular Society Heart Failure Guidelines or other therapies (including SGLT2 inhibitors) as judged by the HF specialist investigator on site and confirmed by the Clinical Eligibility Committee.
6. Clinical agreement amongst local investigators that the patient will not be offered surgical intervention;
7. The primary regurgitant jet, in the opinion of the MitraClip implanting investigator, can successfully be treated by the MitraClip. Treatment of commissural mitral regurgitation may be treated at the discretion of the operator. All major jets contributing the secondary MR will be treated with the MitraClip;
8. Ability to perform a six-minute walk test (6MWT) without substantial physical limitations and without use of a walker or wheelchair and distance walked in 6 minutes of ≤ 450m;
9. Ability and willingness to give written informed consent and to comply with the requirements of the study.

Exclusion Criteria

Study participants meeting any of the following exclusion criteria by the day of randomization (visit 1) are NOT eligible for this study:

1. Life expectancy less than 12 months due to non-cardiac conditions;
2. ACC/AHA Stage D Heart Failure;
3. Left ventricular ejection fraction ≤ 25%; indexed left ventricular end-diastolic volume ≥100 ml/m2;
4. Severe (3-4+, 4+) secondary mitral regurgitation with an indication for intervention;
5. Hypotension (systolic pressure \<90 mm Hg) or requirement for inotropic support or mechanical hemodynamic support;
6. United Network for Organ Sharing (UNOS) status 1 heart transplantation (Canadian Cardiac Transplantation Network, CCTN, status 4) or prior orthotopic heart transplantation;
7. Untreated clinically significant coronary artery disease requiring revascularization;
8. CABG within prior 30 days;
9. Percutaneous coronary intervention within prior 30 days;
10. Severe Chronic Obstructive Pulmonary Disease (COPD) requiring continuous daytime home oxygen or chronic oral corticosteroid therapy;
11. Previous surgical mitral valve bioprosthesis, mitral annuloplasty, or transcatheter mitral valve procedure;
12. Positive pregnancy test, or woman of child bearing potential not using highly effective methods of contraception;

    Women are considered not of childbearing potential if they:
    1. Have had a hysterectomy, a bilateral oophorectomy or tubal ligation prior to Baseline Visit.
    2. Are postmenopausal defined as no menses for at least 1 year and have a serum FSH level of 40 IU/L.

    Women of childbearing potential must agree to use an effective method of birth control throughout the study. Acceptable means of birth control include: implantable contraceptives, injectable contraceptives, oral contraceptives, transdermal contraceptives, intrauterine devices, male or female condoms with spermicide, abstinence, or a sterile sexual partner.
13. Mitral valve area \<4.0 cm2 as assessed by planimetry of the mitral valve;
14. Subjects in whom trans-esophageal echocardiography is contraindicated or is at high risk;
15. Mitral leaflet anatomy which may preclude MitraClip implantation:

    1. Perforated mitral leaflets or clefts, lack of primary or secondary chordal support;
    2. Severe calcification in the grasping area;
    3. Rheumatic valve disease.
16. Stroke or transient ischemic event within 30 days before randomization;
17. Modified Rankin Scale \>4 disability;
18. Need for emergent or urgent surgery for any reason or any planned cardiac surgery within the next 12 months;
19. Severe renal impairment defined as an Estimated Glomerular Filtration Rate (eGFR) \<30 mL/min/1.73m2 as calculated by the Modification in Diet in Renal Disease (MDRD) formula;
20. Severe anemia requiring transfusional support or therapy with erythropoietin;
21. Physical evidence of uncontrolled right-sided congestive heart failure with echocardiographic evidence of moderate or severe right ventricular dysfunction;
22. Aortic valve disease requiring surgery or transcatheter intervention;
23. Significant tricuspid valve disease requiring surgical intervention or very severe tricuspid regurgitation with evidence of right ventricular dysfunction;
24. Active infection requiring antibiotic therapy;
25. Active endocarditis or active rheumatic heart disease or leaflets degenerated from rheumatic disease;
26. Echocardiographic evidence of intracardiac mass, thrombus or vegetation;
27. Any condition making it unlikely the patient will be able to complete all protocol procedures (including compliance with guideline-directed medical therapy) and follow-up visits;
28. Presence of any of the following:

    1. Pulmonary artery systolic pressure (PASP) \> 70 mm Hg confirmed by right heart catheterization;
    2. Infiltrative cardiomyopathies.
29. Any other condition(s) that would compromise the safety of the patient as judged by the site principal investigator.",Change In Mitral Regurgitation,Change in Mitral Regurgitation Severity at 24 Months; Change in Mitral Regurgitation Severity at 12 Months; Change in Quality of Life Assessment
